time,no.,BT,B-pix,G-pix,R-pix,B-st,G-st,R-st,D-pix-w300,D-st-w300,Dm-pix-w300,Dm-st-w300,gray-pix,gray-st,graym-pix,graym-st,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255,p256,p257,p258,p259,p260,p261,p262,p263,p264,p265,p266,p267,p268,p269,p270,p271,p272,p273,p274,p275,p276,p277,p278,p279,p280,p281,p282,p283,p284,p285,p286,p287,p288,p289,p290,p291,p292,p293,p294,p295,p296,p297,p298,p299,p300,p301,p302,p303,p304,p305,p306,p307,p308,p309,p310,p311,p312,p313,p314,p315,p316,p317,p318,p319,p320,p321,p322,p323,p324,p325,p326,p327,p328,p329,p330,p331,p332,p333,p334,p335,p336,p337,p338,p339,p340,p341,p342,p343,p344,p345,p346,p347,p348,p349,p350,p351,p352,p353,p354,p355,p356,p357,p358,p359,p360,p361,p362,p363,p364,p365,p366,p367,p368,p369,p370,p371,p372
20180917-101110,26,31,158.42,134.86,104.02,66.19,52.8,42.51,51.56,50.4,112.78,23.04,128.31,50.34,182.21,11.08,7,2,2,3,5,7,5,5,5,4,4,4,5,5,4,4,1,1,4,1,3,4,1,3,1,3,7,5,4,3,1,3,4,6,5,1,8,1,1,4,3,1,8,8,4,6,3,2,2,2,3,4,2,7,2,1,1,3,1,2,2,3,4,4,5,4,4,4,4,4,4,4,3,7,3,2,4,4,3,4,2,2,6,6,3,3,3,1,3,1,2,3,1,6,1,4,2,1,1,2,4,4,3,3,1,6,4,2,4,4,1,4,6,3,2,8,3,2,3,8,3,7,2,3,5,3,3,3,5,2,7,4,1,6,5,2,6,2,2,4,5,7,8,1,1,4,3,2,4,2,3,4,4,3,4,2,7,1,2,8,4,2,3,3,2,8,5,4,4,5,4,1,4,2,4,4,1,3,4,2,2,3,1,3,3,1,3,4,4,5,5,6,5,6,4,3,5,4,6,1,6,2,2,3,3,6,4,3,5,1,3,5,3,1,3,7,2,3,2,6,5,4,6,5,5,9,3,6,3,5,3,3,1,1,1,1,3,4,6,3,3,2,6,6,7,2,4,1,2,6,5,6,1,8,2,2,5,8,1,2,2,1,7,5,6,1,5,4,2,2,4,9,7,3,3,1,8,4,3,3,5,2,3,2,2,3,2,2,8,7,4,6,6,4,8,7,1,6,2,4,1,1,1,6,3,4,1,3,6,4,2,3,5,3,6,3,3,2,4,7,5,5,4,5,6,6,4,6,3,3,4,2,4,2,2,5,1,3,7,1,3,4,2,2,7,2,2,7,3,2,3,1,3,4,6,1,2,3,4,3,6,4,2,3,3,3,4,4,4,4,1,1
20181030-130257,27,28,161.8,150.36,138.74,54.93,46.4,47.03,71.37,52.98,117.42,25.25,148.19,46.63,172.28,14.76,8,7,7,4,2,8,5,8,5,4,4,8,8,6,7,6,3,6,8,5,7,6,4,5,3,3,9,8,6,4,6,5,5,6,8,5,7,4,5,6,3,6,6,8,6,5,8,5,6,5,2,6,6,3,7,4,1,7,7,3,5,3,7,6,7,5,4,6,7,6,6,8,7,8,6,1,8,5,6,5,6,5,6,7,7,3,5,5,4,1,2,3,6,7,7,6,5,5,7,5,5,6,7,8,1,5,5,7,7,4,3,5,6,3,8,7,2,2,2,9,3,7,6,3,5,5,3,7,5,4,8,8,3,6,4,9,7,7,7,5,5,9,4,8,3,7,4,4,7,4,6,5,8,6,7,9,9,4,4,8,5,2,5,4,4,5,7,8,6,6,7,9,4,5,4,5,4,4,6,3,9,4,5,3,9,5,8,6,4,6,5,4,7,8,7,5,7,5,8,7,8,2,4,2,4,6,6,6,4,7,6,5,2,1,4,5,2,8,6,5,8,5,5,6,8,8,6,6,4,7,4,6,3,8,2,1,7,5,6,8,2,7,5,7,9,7,7,5,2,7,4,7,4,8,4,5,5,8,7,4,4,3,4,6,7,2,7,6,4,7,4,5,9,5,8,1,6,6,3,4,9,9,4,3,6,6,6,3,6,8,5,6,6,7,9,8,3,6,6,7,10,2,2,6,7,6,2,7,7,3,5,2,4,5,6,7,2,6,8,6,4,6,4,5,5,6,3,6,7,9,9,8,3,6,7,6,3,6,7,3,6,5,3,4,8,9,8,8,4,1,3,3,5,7,7,4,4,4,5,8,8,7,5,8,4,3,6,6,7,4,8,8
20180130-130812,28,13,130.74,126.73,118.34,63.47,59.83,57.25,72.28,72.92,109.87,28.74,124.62,59.19,158.93,10.74,8,10,8,10,10,10,10,9,5,8,6,10,10,7,8,8,8,6,9,9,10,8,9,8,8,9,10,10,8,10,9,4,9,8,10,7,10,8,7,9,8,10,8,9,7,9,9,7,2,6,7,8,9,2,8,6,10,9,8,5,8,9,7,8,7,6,7,8,9,8,8,9,6,9,7,9,10,8,8,8,9,7,7,8,8,9,8,6,5,10,7,9,3,4,10,8,9,10,10,7,6,8,5,8,10,9,7,9,7,7,5,7,7,8,7,7,7,5,1,9,5,9,7,7,7,10,5,6,7,8,9,8,5,8,10,10,8,8,9,7,4,10,8,10,6,5,4,4,9,5,9,6,9,10,7,9,10,7,8,8,8,5,9,7,10,9,8,8,6,6,9,10,9,6,10,5,5,9,3,4,8,10,9,4,9,6,10,7,7,7,9,7,8,8,7,8,5,5,8,8,10,9,8,8,9,5,9,8,10,10,7,10,9,7,9,6,6,6,9,8,10,8,4,8,8,8,10,8,9,5,8,6,6,10,8,8,8,10,10,3,9,7,9,9,10,8,8,10,9,9,10,6,10,10,8,8,9,9,10,8,4,4,1,8,10,3,6,7,10,10,5,8,10,3,10,3,7,6,9,7,10,10,7,9,7,6,7,4,9,6,8,4,7,8,10,9,4,7,6,8,10,10,2,8,7,9,7,9,9,7,9,3,10,9,9,8,3,8,5,9,4,10,4,6,8,8,10,8,8,8,7,9,8,8,10,10,10,8,8,9,9,5,8,7,10,8,10,9,6,5,8,8,9,9,10,7,7,8,8,9,8,8,4,10,8,9,9,8,10,3,9,9
20181124-120559,29,26,154.97,136.15,120.81,58.7,47.84,45.7,52.78,51.09,92.23,34.08,133.71,47.33,162.25,16.69,3,1,6,5,2,8,5,8,5,5,2,8,3,6,7,6,3,3,8,8,5,3,3,2,3,1,7,8,5,2,4,4,5,7,9,5,3,3,2,7,3,2,3,7,4,4,3,3,8,3,3,4,7,4,4,4,3,6,6,4,3,2,7,6,6,4,4,6,8,5,3,7,3,7,5,1,8,4,4,2,8,7,5,7,8,3,6,4,4,3,2,2,5,4,1,5,6,4,1,4,5,5,7,7,1,6,4,3,4,4,4,4,8,3,4,4,2,4,3,1,4,3,3,1,4,4,2,6,6,4,8,6,4,5,5,3,5,4,3,6,3,3,5,2,4,2,2,4,2,4,3,2,7,6,2,9,8,3,3,8,4,1,7,5,2,8,7,3,3,6,6,1,5,4,5,5,3,3,5,2,3,4,3,2,4,4,7,5,4,5,5,5,3,6,6,4,5,4,9,8,7,1,3,3,3,7,8,4,5,3,5,4,5,1,3,6,2,4,4,6,8,6,5,6,7,7,2,6,5,6,6,5,3,2,7,1,7,7,8,6,3,6,6,2,7,1,4,8,1,3,5,6,1,9,5,6,3,8,5,3,1,2,5,3,9,5,6,6,3,2,3,8,9,6,8,1,5,6,3,4,7,1,6,1,5,5,2,3,4,6,4,5,8,4,8,8,3,7,6,5,10,7,1,1,7,4,2,4,3,2,5,3,5,7,8,5,3,6,8,5,5,4,4,5,2,7,3,5,8,3,6,7,2,3,3,5,3,8,6,1,4,4,3,3,6,6,8,8,4,1,4,3,6,6,7,4,3,3,5,7,8,7,4,7,2,5,2,4,6,4,5,5
20180510-095241,30,24,149.28,141.89,127.11,76.54,69.33,64.35,70.32,77.31,107.48,52.7,138.31,68.32,196.71,24.98,2,1,6,6,4,8,5,5,5,4,4,8,2,5,5,6,3,3,6,7,1,3,1,4,3,2,6,7,6,4,6,6,5,7,8,5,6,4,4,5,4,4,6,6,3,7,4,3,8,4,3,5,7,5,5,3,5,6,8,3,3,7,7,7,5,4,5,7,7,5,4,7,4,7,6,3,7,5,4,4,5,7,6,6,6,3,4,4,4,3,3,4,4,4,2,6,5,4,3,5,5,6,6,6,1,6,3,5,4,4,4,4,6,3,4,7,3,4,4,2,3,5,4,1,5,2,2,6,6,5,7,3,3,7,6,3,7,5,4,5,3,4,5,3,4,5,2,4,4,3,5,4,6,6,4,8,4,3,2,8,4,3,5,4,3,5,6,3,4,6,6,3,5,3,4,5,4,3,4,3,3,9,2,1,7,4,5,5,4,3,7,5,5,7,6,6,7,4,7,8,9,2,3,2,3,7,5,6,6,3,5,4,4,1,3,6,3,5,6,6,7,5,6,5,6,7,4,6,4,6,4,5,2,1,5,4,6,5,8,6,3,6,6,4,8,6,5,8,4,7,4,6,4,9,5,5,5,7,8,4,1,3,4,5,9,4,7,8,3,8,3,8,7,6,6,1,8,5,5,4,7,2,4,7,5,5,5,3,4,7,6,6,6,6,9,9,2,6,4,5,1,7,4,6,8,5,3,5,4,6,5,3,8,6,7,5,3,5,7,6,5,7,5,4,3,6,3,4,8,7,9,5,4,8,4,4,3,7,6,2,7,3,4,4,8,6,6,8,4,3,2,3,5,5,7,4,2,4,5,3,4,6,4,8,6,4,4,4,5,4,4,4
20180119-115518,31,20,129.09,125.89,117.67,64.99,60.84,58.04,67.89,70.59,92.02,34.6,123.77,60.21,158.24,14.93,2,10,8,8,8,10,5,7,7,6,6,10,9,8,5,7,4,3,7,10,8,7,4,8,3,8,8,7,6,7,8,7,9,8,9,5,8,6,7,7,6,6,8,6,7,8,7,4,3,5,7,7,8,4,7,4,9,9,7,6,6,4,7,5,6,7,5,7,8,4,7,9,8,9,6,7,8,6,8,8,8,5,7,5,8,6,8,7,5,8,7,9,9,9,5,6,9,8,10,3,5,8,7,8,10,9,7,7,7,8,7,7,7,6,7,10,7,5,2,9,4,7,5,8,6,8,6,8,7,7,9,6,7,8,8,8,9,6,5,5,5,10,8,5,6,5,2,5,7,5,6,6,9,6,5,7,5,7,5,8,7,6,5,6,7,5,8,9,7,7,8,9,8,4,10,6,5,3,4,5,8,10,5,2,7,7,7,7,6,6,9,5,3,7,8,8,4,8,8,9,10,8,4,6,3,5,8,9,8,5,5,6,8,5,3,6,5,6,6,6,9,7,3,6,8,9,8,7,7,6,7,4,4,10,5,3,8,7,9,7,8,7,8,7,7,8,8,8,9,7,9,6,9,10,8,7,7,6,8,7,3,5,3,7,10,5,7,8,7,9,5,7,8,6,9,3,8,6,7,6,6,7,5,9,7,6,7,3,8,7,6,4,7,6,10,5,2,7,5,7,10,9,9,10,6,6,3,6,7,7,7,5,10,6,8,6,5,6,5,8,5,7,6,8,8,8,9,8,9,6,8,8,7,9,9,7,7,7,7,9,6,3,5,7,6,6,5,8,5,8,6,4,5,9,9,5,5,6,7,7,9,8,4,4,7,9,5,7,8,3,7,7
20180126-110438,32,16,144.67,131.7,117.15,74.66,66.49,61.57,50.15,61.29,48.39,35.06,128.82,65.37,154.67,32.24,1,1,2,3,7,5,1,3,3,3,2,2,1,3,4,4,1,1,5,3,1,3,1,3,1,1,4,4,3,2,2,1,3,6,4,1,3,1,2,4,3,1,4,5,3,4,3,1,3,2,2,2,3,7,2,1,1,3,1,5,3,4,3,5,5,4,4,3,3,6,3,3,3,1,4,2,3,1,2,2,1,5,5,4,3,3,2,2,3,1,3,2,1,3,1,3,4,2,2,2,4,4,3,2,1,5,2,1,2,3,2,4,3,3,3,2,3,1,4,9,2,6,2,3,2,1,2,4,4,3,7,1,1,4,4,3,2,2,2,3,2,4,3,1,1,2,2,3,5,2,1,1,3,3,3,3,2,1,2,8,3,4,5,3,2,4,6,3,4,5,4,1,2,1,5,4,2,3,2,2,3,2,1,1,4,2,2,4,4,4,6,4,1,6,6,3,3,3,10,2,8,3,1,3,3,6,2,3,4,1,3,2,3,1,3,6,1,3,2,6,4,4,6,3,2,6,3,6,4,3,1,2,1,2,3,2,5,2,6,3,1,3,5,3,4,1,2,3,1,4,3,5,1,8,4,3,2,5,2,2,1,2,9,2,5,1,5,4,3,2,4,8,4,4,3,2,5,6,3,2,2,1,3,2,2,4,2,2,2,5,3,3,3,4,9,3,2,5,3,2,1,1,1,1,3,4,1,3,3,2,3,3,5,2,5,3,3,2,4,4,4,5,6,3,4,6,5,2,3,3,3,3,3,2,2,4,1,5,2,1,5,2,3,4,3,3,4,7,3,2,2,1,2,4,5,1,2,3,3,3,7,4,3,3,2,4,1,3,2,4,2,2
20180127-140438,33,20,121.15,120.64,114.67,65.37,61.57,58.99,64.26,72.58,69.41,37.64,118.9,61.01,150.37,21.42,8,10,7,10,10,10,8,10,6,8,6,10,10,9,7,6,3,8,9,9,6,9,8,9,9,9,7,9,7,10,9,7,9,8,10,8,9,8,7,8,7,10,8,6,9,8,9,8,7,8,8,9,8,2,7,5,10,5,8,4,7,8,7,5,6,7,6,7,9,6,8,8,7,9,7,8,7,7,7,9,8,8,7,6,9,8,9,6,8,8,6,9,8,9,8,7,7,7,9,8,5,8,9,7,10,10,4,9,8,6,8,7,8,8,6,9,8,8,2,9,6,9,7,9,6,8,6,8,8,9,9,9,4,9,9,8,8,7,9,5,3,10,9,10,6,6,3,5,8,6,7,8,9,8,8,9,8,7,10,8,7,8,8,8,10,8,8,9,8,7,7,10,9,7,10,8,7,9,5,5,9,10,7,1,10,9,10,8,8,7,9,6,8,6,8,9,5,9,6,8,10,9,8,8,9,4,8,9,9,10,5,7,8,5,9,5,7,9,9,8,8,6,4,8,8,9,8,7,8,5,9,5,6,9,7,7,8,7,9,7,8,8,8,9,7,10,10,10,9,8,9,6,7,10,8,9,9,8,10,9,4,7,1,8,10,8,7,8,8,9,6,7,10,6,9,4,7,7,9,7,6,10,7,10,7,6,7,3,8,7,7,7,8,7,10,8,6,8,6,8,10,9,9,10,8,7,8,9,8,9,8,3,10,9,10,8,3,7,8,9,5,9,7,3,8,6,7,8,9,8,8,8,9,9,8,8,10,5,8,9,9,5,7,8,8,6,9,9,5,8,8,3,4,9,9,5,5,7,8,9,7,8,6,6,9,9,8,8,8,4,8,8
20180127-070438,34,13,116.27,118.25,120.19,73.52,70.88,69.96,64.05,82.46,30.19,26.92,118.6,70.68,128.48,43.21,2,1,6,10,10,7,5,8,5,5,4,10,8,5,2,7,3,1,7,8,5,3,4,6,2,8,5,7,4,8,8,5,8,7,10,4,4,6,3,3,4,7,8,5,5,7,8,7,2,3,6,8,4,5,4,2,9,8,1,6,3,7,4,4,4,6,4,5,7,3,9,4,2,8,7,1,4,3,7,6,4,6,6,4,7,3,3,2,9,1,6,5,8,8,4,4,3,8,3,3,5,6,2,6,10,8,3,6,4,8,3,5,3,7,6,8,7,5,3,3,4,7,4,2,5,4,3,7,5,9,8,7,1,8,4,9,6,3,5,3,4,10,8,2,5,3,3,2,5,3,2,7,6,7,4,6,4,6,2,4,6,6,6,4,9,9,4,9,5,5,5,2,7,3,6,4,8,4,3,2,8,7,7,1,4,8,10,5,7,3,6,6,8,6,4,2,5,4,4,6,9,7,3,5,4,6,3,4,4,4,4,3,9,1,4,6,7,6,3,7,8,4,3,8,2,8,5,7,7,5,7,3,8,7,8,6,8,2,9,3,3,3,6,3,4,10,5,4,5,8,4,5,4,6,6,2,9,4,6,2,3,4,8,7,7,1,5,5,6,1,3,8,8,6,1,1,6,6,7,3,8,4,6,9,4,5,2,3,8,4,6,3,3,4,10,5,3,5,2,6,1,8,5,7,6,6,1,7,6,9,3,3,8,4,8,5,3,4,3,9,4,6,7,3,8,6,7,3,4,8,7,2,8,9,9,3,1,3,3,3,4,2,5,7,6,2,5,8,3,3,3,3,3,8,6,4,3,5,8,7,5,6,2,3,5,9,3,7,3,5,3,3
20180131-130703,35,17,135.34,132.53,124.87,58.85,54.09,51.92,69.58,69.54,104.22,33.07,130.52,53.7,160.12,10.69,8,9,8,10,3,8,5,8,7,9,7,10,10,10,7,8,8,3,9,9,9,8,8,9,8,8,9,9,7,9,8,4,9,8,10,8,9,8,6,7,4,9,7,8,8,7,7,8,8,5,9,7,7,3,6,5,9,8,3,5,5,7,5,6,4,7,7,8,8,8,8,8,8,9,8,4,8,7,8,8,9,9,7,7,10,7,7,6,7,10,6,7,7,9,9,7,8,9,8,7,6,7,7,7,10,8,5,8,8,7,8,5,8,8,8,8,7,7,1,10,6,7,6,10,5,7,5,8,8,9,9,6,6,9,9,8,8,8,7,6,3,10,9,9,6,3,3,5,7,7,8,5,9,8,8,10,7,5,4,8,8,4,9,7,9,9,8,9,8,7,5,9,7,7,9,7,6,7,6,3,8,10,9,1,8,8,9,7,7,7,9,9,9,6,7,7,5,8,8,8,10,8,6,7,7,5,8,4,9,10,6,9,9,1,7,6,7,9,7,9,9,6,4,9,8,9,9,7,7,6,9,4,8,8,7,6,8,4,10,3,8,7,6,6,7,10,8,9,8,8,9,6,5,9,9,7,9,6,8,7,8,5,3,7,8,2,6,7,7,10,4,7,9,6,9,4,6,6,7,7,10,9,7,9,5,6,7,4,9,7,8,5,8,8,10,8,2,7,6,8,10,9,10,7,9,8,8,10,7,6,8,4,9,7,9,7,4,7,8,10,5,6,9,5,6,7,6,7,7,7,9,8,8,9,9,9,7,4,8,7,7,5,5,7,9,7,9,8,4,3,5,7,7,9,9,7,5,5,10,7,8,8,6,8,7,9,7,8,8,3,8,8
20180226-150359,36,21,146.17,127.78,113.09,51.89,43.01,45.37,39.29,39.68,82.16,24.54,125.48,42.98,141.48,12.59,7,1,2,9,1,8,5,7,6,4,3,2,7,5,4,8,7,3,8,2,3,3,2,4,3,2,6,7,5,6,3,2,5,6,8,4,1,2,4,5,1,3,5,6,4,5,3,4,2,2,6,7,6,5,3,2,2,2,1,3,2,3,6,3,6,4,7,4,7,4,4,7,2,5,5,1,8,2,3,3,2,4,4,6,7,2,5,1,5,1,2,3,6,4,7,5,6,2,5,3,5,5,7,7,1,5,3,6,3,3,5,4,7,2,2,8,2,1,10,3,4,5,4,1,4,4,3,4,5,4,7,4,1,7,5,3,7,3,3,7,5,2,4,2,4,2,3,2,3,4,4,3,5,5,3,6,6,5,2,6,5,1,5,3,2,8,4,3,3,7,5,7,5,4,5,5,3,2,5,2,3,2,2,1,4,3,5,3,4,2,3,5,3,5,4,3,5,5,7,3,6,1,3,3,2,7,6,8,5,3,4,2,7,1,2,6,3,4,4,4,5,6,2,4,6,8,3,5,4,7,6,3,4,3,3,1,6,6,8,6,1,3,5,5,4,5,3,3,5,4,4,5,2,7,3,6,4,4,3,2,3,2,5,3,7,1,6,4,3,1,4,7,7,4,8,1,4,5,3,3,7,4,2,2,3,3,2,2,7,4,3,7,7,4,7,7,2,6,7,3,10,3,3,8,7,4,2,5,5,2,5,3,5,3,5,4,3,6,3,4,4,6,6,4,3,5,3,2,5,3,5,3,3,2,5,6,2,2,4,2,7,3,3,3,5,2,1,7,4,1,4,2,6,5,6,3,3,3,5,6,9,7,3,7,3,3,5,4,6,3,6,6
20180210-142606,37,17.5,142.26,137.64,129.46,55.9,49.15,46.7,67.49,62.54,111.44,25.96,135.71,48.81,159.53,8.73,9,10,7,10,8,9,6,7,5,5,6,5,10,10,6,9,7,7,10,4,9,6,6,8,6,6,8,4,8,8,6,5,5,7,10,6,8,7,5,7,3,7,7,6,5,8,7,8,8,5,7,9,9,3,6,7,10,5,10,6,9,8,4,5,8,5,8,9,8,5,9,9,9,9,7,7,9,7,7,9,5,9,7,6,10,4,6,6,4,2,5,8,6,8,8,8,7,8,8,4,7,7,7,7,1,6,7,9,7,5,7,4,9,4,7,10,7,5,3,9,7,8,6,5,4,9,2,7,8,7,9,3,6,7,9,7,7,7,6,7,3,10,5,10,7,6,3,3,7,6,9,6,8,8,8,9,3,7,3,8,4,4,8,7,10,9,8,8,8,6,6,7,8,3,10,5,5,4,5,5,8,9,8,3,4,8,7,9,4,4,6,6,5,7,8,6,5,8,10,8,9,7,6,3,4,6,7,8,9,9,5,7,9,1,4,6,7,8,7,7,9,6,2,7,7,9,6,7,6,6,7,5,6,7,7,7,9,9,8,8,5,6,7,8,9,10,8,9,8,7,9,7,9,10,9,7,9,8,8,8,5,6,2,8,9,8,5,8,4,9,5,6,9,7,8,2,8,6,8,7,8,9,7,8,5,7,8,3,9,5,6,6,9,7,10,9,5,6,5,6,10,9,7,7,8,7,10,7,7,7,8,4,8,6,7,4,4,7,6,9,5,6,7,3,5,6,9,8,7,8,8,9,2,9,9,8,8,2,7,9,9,2,5,7,4,6,8,8,3,3,6,6,6,8,8,7,5,3,6,9,9,8,3,4,8,9,8,4,8,2,9,9
20180215-133402,38,27.5,147.04,124.57,106.35,59.2,47.8,48.08,30.9,36.08,46.69,29.32,121.69,47.13,136.66,27.13,1,1,2,7,3,6,1,2,4,2,2,3,5,1,2,5,1,1,3,1,3,1,1,3,1,2,7,3,2,4,1,2,5,6,5,4,1,2,3,4,2,2,3,3,2,4,3,2,2,2,1,3,2,7,2,1,1,2,1,3,1,1,3,3,4,3,3,4,2,3,4,4,1,1,4,1,4,1,1,2,6,4,3,5,2,2,2,5,2,1,1,2,1,3,1,2,7,1,1,2,4,5,2,2,1,4,2,1,3,3,2,2,4,3,2,4,2,1,10,1,3,4,2,1,5,2,1,4,2,4,6,3,2,5,3,3,5,1,1,1,2,5,2,1,1,1,1,2,2,4,1,1,3,3,2,1,3,1,2,5,2,2,2,1,2,5,2,3,3,5,3,1,4,1,6,4,1,2,3,1,2,2,1,1,3,1,2,4,3,4,3,3,3,6,2,2,3,3,3,2,6,1,1,3,2,7,5,3,3,1,3,1,2,1,2,6,2,1,1,3,6,3,10,4,2,7,3,5,4,3,2,2,2,1,2,1,3,1,4,5,1,2,4,3,3,1,1,1,1,4,4,6,1,7,1,3,4,8,1,1,1,1,10,2,3,1,6,2,2,1,4,7,5,3,7,1,5,5,3,2,3,3,2,1,2,3,1,2,2,3,3,3,4,3,2,6,2,4,2,4,1,1,1,1,2,4,1,3,3,1,2,3,5,2,5,3,3,4,2,3,5,4,6,1,4,2,3,1,3,1,4,1,2,3,2,5,1,1,1,1,2,2,1,2,1,1,2,3,2,1,2,1,2,3,2,1,3,3,2,3,7,5,2,1,3,3,1,4,2,2,3,3
20180223-132530,39,20,155.63,144.62,133.71,54.88,45.62,43.74,63.2,58.24,114.46,26.46,142.62,45.38,163.55,8.13,8,1,6,6,4,8,5,8,4,6,4,9,9,8,6,7,3,4,8,5,8,7,4,7,3,4,8,9,7,5,6,6,7,7,10,7,6,4,5,8,3,5,3,6,6,7,4,5,9,5,6,7,7,4,5,4,6,4,6,3,4,3,8,5,8,4,6,8,7,8,5,8,7,8,5,1,8,4,5,5,7,8,4,6,8,4,4,3,4,7,2,4,6,6,9,7,6,5,6,4,5,6,7,7,1,4,5,6,9,6,8,5,8,8,7,7,1,3,4,4,5,8,7,2,6,5,4,8,5,7,8,3,7,7,6,6,8,7,7,3,4,10,8,10,5,3,2,4,8,6,5,6,4,9,7,8,3,4,7,7,4,2,8,4,3,9,5,5,6,6,5,3,5,6,6,6,4,4,4,2,8,3,3,3,8,5,5,7,8,4,3,4,7,7,8,8,7,4,8,9,9,2,7,3,4,6,7,6,6,9,5,6,5,1,4,6,5,6,6,6,9,5,8,7,8,10,5,6,5,8,5,4,4,3,2,4,7,6,8,8,2,6,6,4,8,2,7,9,3,7,8,7,4,10,7,6,5,6,6,4,2,4,3,7,4,5,7,6,5,1,3,6,8,6,8,1,5,6,3,4,10,8,7,3,5,5,5,3,4,3,7,7,8,7,8,8,3,7,7,5,10,8,5,1,9,7,3,7,5,6,5,3,6,6,6,7,3,6,8,6,5,9,6,3,5,6,4,8,7,9,9,7,3,9,9,7,4,8,7,5,5,5,2,4,4,4,9,6,6,3,4,4,8,6,7,6,4,3,6,7,8,5,6,9,6,3,6,3,7,3,7,7
20180301-151711,40,24,150,130.1,114.38,49.09,40.78,43.31,45.67,40.3,97.21,16.47,127.66,40.79,141.62,8.37,9,1,6,9,1,8,5,9,5,8,4,7,9,9,7,9,3,8,10,8,7,6,1,7,5,2,9,10,6,9,5,6,9,6,10,9,8,5,7,8,2,7,2,7,6,8,5,5,9,5,6,6,7,4,6,7,4,5,9,2,6,3,9,6,9,4,7,9,8,5,4,9,7,7,6,2,10,6,5,6,7,10,5,7,10,6,8,3,5,1,1,4,8,5,8,6,6,5,10,3,8,4,9,10,1,4,4,7,7,6,7,4,9,7,7,10,1,7,2,9,9,7,6,2,7,9,3,8,9,6,8,2,3,6,6,9,7,6,7,7,1,2,8,10,6,6,2,6,8,5,5,2,8,8,7,10,7,4,2,8,5,2,8,6,1,9,8,5,4,6,5,8,4,6,5,5,3,3,6,5,8,7,4,2,10,9,8,6,4,7,4,5,6,8,10,7,5,4,10,7,6,2,10,2,3,6,5,3,6,10,6,8,5,1,3,6,5,9,6,3,8,6,8,6,10,9,6,6,3,10,4,6,4,5,2,6,8,6,6,8,2,5,6,5,8,2,7,8,7,6,7,7,1,9,8,9,3,7,5,4,3,1,1,6,4,5,8,7,2,2,4,7,9,7,9,1,5,5,5,4,10,9,5,3,4,5,6,2,4,4,6,8,9,8,9,9,7,7,8,7,10,8,1,1,9,5,4,10,5,3,5,2,4,2,7,6,2,8,8,8,6,4,6,9,6,7,5,5,8,8,9,8,2,9,7,7,3,7,6,5,5,6,2,4,4,5,10,6,8,4,8,5,9,5,8,8,6,3,7,8,8,5,8,8,6,3,7,9,9,3,10,10
